STATION_NAME;NAT_ABBR;LATITUDE;LONGITUDE;XCOORD;YCOORD;ELEVATION
Aadorf / Tänikon;TAE;47.480; 8.9049;710515;259821; 539.00
Aarberg;ABE;47.037; 7.2814;588051;209518; 493.00
Adelboden;ABO;46.492; 7.5604;609350;149001;1326.74
Affeltrangen;AFT;47.531; 9.0199;719070;265660; 479.00
Affoltern i. E.;AIE;47.063; 7.7406;622940;212500; 755.00
Aigle;AIG;46.327; 6.9244;560401;130713; 381.02
Airolo;AIR;46.526; 8.5974;688910;153400;1139.00
Allenwinden, TG;ALW;47.387; 8.9458;713800;249550; 865.00
Alpthal;APT;47.060; 8.7136;696860;212930;1015.00
Altdorf;ALT;46.887; 8.6218;690174;193558; 438.00
Altmatt;ALM;47.131; 8.6963;695420;220770; 920.00
Altstätten, SG;ALS;47.383; 9.5565;759910;250202; 430.00
Alvaneu Dorf;ALV;46.677; 9.6499;769168;171945;1170.00
Amriswil;AMW;47.550; 9.3225;741796;268304; 420.00
Andeer;AND;46.610; 9.4319;752687;164036; 987.10
Andelfingen;AFI;47.602; 8.6861;693810;273070; 382.00
Andermatt;ANT;46.631; 8.5805;687444;165044;1438.00
Appenzell;APP;47.340; 9.3973;748012;245040; 750.00
Arbon;ARB;47.502; 9.4364;750506;263115; 401.00
Arisdorf;ARI;47.507; 7.7746;625310;261860; 480.00
Arosa;ARO;46.793; 9.6790;771030;184826;1878.00
Avenches;AVE;46.881; 7.0368;569367;192283; 446.00
Avers / Am Bach;AVB;46.453; 9.5472;761985;146785;2000.00
Bad Ragaz;RAG;47.017; 9.5026;756910;209351; 496.00
Balsthal;BAT;47.320; 7.7166;621017;241091; 523.00
Barmelweid;BAW;47.422; 7.9711;640180;252446; 770.00
Basel / Binningen;BAS;47.541; 7.5836;610911;265601; 316.17
Baulmes;BAU;46.790; 6.5225;530050;182450; 642.00
Bauma;BAM;47.365; 8.9056;710805;247005; 667.00
Bauma;ZHBAM;47.374; 8.8654;707750;248010; 621.00
Bellelay;BEY;47.265; 7.1691;579603;234880; 923.00
Bellinzona;BLZ;46.190; 9.0049;720913;116588; 224.00
Belp;BEP;46.906; 7.5053;605082;195001; 510.00
Benken / Doggen;DOB;47.189; 8.9612;715387;227540; 408.00
Bergün / Latsch;LAT;46.627; 9.7537;777273;166619;1407.85
Bern / Zollikofen;BER;46.991; 7.4640;601930;204410; 552.84
Beromünster;BMU;47.207; 8.1936;657200;228760; 642.00
Bex;BEX;46.244; 6.9953;565806;121511; 402.00
Beznau;BZN;47.558; 8.2355;659975;267750; 327.00
Biasca;BIA;46.336; 8.9784;718550;132800; 278.00
Biel/Bienne;BIL;47.120; 7.2576;586260;218840; 433.00
Binn;BIN;46.368; 8.1923;657996;135422;1479.00
Birmensdorf;ZHBID;47.355; 8.4401;675660;245430; 466.00
Bischofszell;BIZ;47.497; 9.2347;735325;262285; 470.00
Bisisthal;BIS;46.947; 8.8280;705770;200450; 785.00
Bivio;BIV;46.463; 9.6686;771282;148120;1856.00
Bière;BIE;46.525; 6.3424;515889;153207; 683.64
Blumenstein;BLU;46.744; 7.5206;606260;177010; 655.00
Boltigen;BOT;46.630; 7.3874;596077;164296; 892.00
Bosco/Gurin;BOS;46.317; 8.4887;680879;130027;1486.00
Boudevilliers;BOV;47.023; 6.8874;558095;208130; 750.00
Bourg-St-Pierre;BSP;45.946; 7.2085;582155; 88270;1664.00
Braggio;BRA;46.296; 9.1256;729975;128600;1315.00
Braunau;BNU;47.522; 9.0734;723115;264787; 592.00
Braunwald;BRW;46.937; 8.9876;717942;199651;1299.00
Brienz;BRZ;46.741; 8.0609;647552;176803; 567.15
Brig;BRI;46.312; 7.9653;640567;129069; 665.00
Brissago;BSG;46.120; 8.7090;698200;108390; 280.00
Bristen;BRT;46.768; 8.6984;696223;180373; 784.00
Broc;BRO;46.610; 7.1080;574670;162100; 680.00
Brusio;BRP;46.264;10.1172;806477;127184; 856.00
Bruzella;BZL;45.883; 9.0370;724090; 82490; 620.00
Brülisau;BLS;47.297; 9.4583;752743;240475; 933.00
Buch, SH;BUC;47.717; 8.7839;700944;286039; 414.00
Buchs / Aarau;BUS;47.384; 8.0794;648389;248365; 386.66
Buffalora;BUF;46.648;10.2672;816494;170225;1968.00
Bullet / La Frétaz;FRE;46.841; 6.5763;534221;188081;1205.43
Burgdorf;BUD;47.057; 7.5987;612163;211782; 534.00
Bözberg;UBB;47.482; 8.1318;652249;259223; 536.00
Bülach;BUE;47.520; 8.5275;682010;263780; 402.00
Camedo;CMD;46.155; 8.6075;690296;112207; 590.00
Campocologno;CAC;46.232;10.1438;808650;123700; 535.00
Cavaglia;CAV;46.368;10.0362;799850;138470;1706.00
Cevio;CEV;46.320; 8.6032;689688;130565; 417.00
Chanéaz;CNZ;46.729; 6.7427;546800;175580; 758.00
Chasseral;CHA;47.132; 7.0544;570847;220158;1599.00
Chaumont;CHM;47.049; 6.9788;565060;211006;1136.00
Chavornay;CHY;46.702; 6.5480;531887;172741; 439.00
Chevrier;GECHE;46.220; 6.2228;506185;119470; 429.70
Chur;CHU;46.870; 9.5305;759466;193153; 556.00
Château-d'Oex;CHD;46.480; 7.1397;577040;147655;1029.00
Chéserex;CHX;46.398; 6.1722;502600;139350; 532.00
Cimetta;CIM;46.200; 8.7916;704433;117452;1661.00
Col des Mosses;CDM;46.392; 7.0982;573818;137852;1412.00
Col du Grand St-Bernard;GSB;45.869; 7.1708;579200; 79720;2472.00
Coldrerio;COL;45.854; 8.9974;721080; 79235; 347.00
Combe-Garot;COG;46.962; 6.7977;551220;201450; 532.00
Cossonay;COS;46.610; 6.4931;527563;162465; 590.00
Courtelary;COY;47.181; 7.0907;573623;225597; 695.00
Courtepin;COP;46.860; 7.1276;576280;189930; 565.00
Couvet;COU;46.934; 6.6587;540607;198345; 728.00
Davos;DAV;46.813; 9.8435;783514;187458;1594.16
Degersheim;DEH;47.366; 9.1942;732600;247600; 830.00
Delémont;DEM;47.352; 7.3496;593269;244543; 439.00
Diessenhofen;DIE;47.692; 8.7271;696730;283130; 405.00
Dietikon;DIT;47.414; 8.4045;672890;251865; 384.00
Dischma;DMA;46.772; 9.8821;786600;182990;1710.00
Disentis;DIS;46.707; 8.8535;708189;173789;1197.05
Ebnat-Kappel;EBK;47.273; 9.1085;726347;237176; 623.00
Echallens;ECH;46.646; 6.6217;537455;166430; 603.00
Effretikon;EFF;47.439; 8.7025;695336;254992; 478.00
Eggersriet;EGR;47.440; 9.4561;752170;256280; 814.00
Egolzwil;EGO;47.179; 8.0048;642913;225540; 521.00
Ehrendingen;OED;47.508; 8.3392;667846;262266; 428.00
Eigenthal;EIT;46.983; 8.2186;659340;203880;1114.00
Einsiedeln;EIN;47.133; 8.7566;699984;221068; 910.00
Elm;ELM;46.924; 9.1753;732265;198425; 958.00
Engelberg;ENG;46.822; 8.4105;674157;186097;1035.66
Entlebuch;ENT;46.987; 8.0687;647935;204165; 768.00
Eptingen;EPT;47.386; 7.8190;628720;248410; 565.00
Eriswil;ERI;47.082; 7.8484;631120;214600; 740.00
Erlenbach im Simmental;ERB;46.657; 7.5477;608350;167300; 683.00
Ermatingen;WOB;47.672; 9.0882;723880;281420; 400.00
Eschenz;ESZ;47.646; 8.8742;707865;278227; 414.00
Eschlikon;EKO;47.452; 8.9729;715699;256836; 578.00
Escholzmatt;EHM;46.906; 7.9390;638120;195100; 910.00
Euthal;EUT;47.099; 8.8182;704729;217363; 910.00
Fahy;FAH;47.424; 6.9411;562458;252676; 596.00
Faido;FAI;46.477; 8.8053;704950;148266; 747.00
Filisur;FIL;46.671; 9.6899;772250;171320;1030.00
Finhaut;CTA;46.083; 6.9753;564160;103590;1242.00
Flawil;FLW;47.414; 9.2017;733050;252940; 570.00
Flims;FLI;46.834; 9.2833;740720;188600;1050.00
Flühli, LU;FLU;46.889; 8.0203;644332;193311; 939.75
Frauenfeld;FRF;47.573; 8.8937;709480;270170; 393.00
Fribourg / Posieux;GRA;46.771; 7.1137;575182;180076; 646.00
